# 1200 1
# sample file
#troughput	latency
1909	46599
1749	45226
1821	80642
1919	38357
1924	85649
1932	41895
1763	53534
1944	36811
1925	45751
1982	48586
1938	45382
1927	35686
1907	46892
1807	44880
1816	133775
2042	40383
1794	44789
1878	48622
1970	34811
1939	34946
2086	40796
1890	39245
1789	47536
1719	48653
1948	47546
2059	39664
1877	36673
1975	45493
2114	40114
2014	39243
1914	39250
1837	45928
1870	37176
1811	43395
1725	46868
1782	41354
1956	43275
1898	48888
2030	38005
2156	45122
4012	46302
20739	3109
21160	2991
21325	3010
21447	2992
20302	2980
21422	2978
21523	2971
21552	2985
9083	2986
1834	45187
1968	37681
1884	47436
1834	45542
1930	71151
1838	49167
1830	46414
2042	40592
2009	45627
1951	45130
1787	46591
2101	42107
1736	49124
1836	47951
1902	40347
1768	48075
2008	43353
2151	37936
2010	37623
1934	36319
1821	44888
1885	34680
1994	48034
1810	45872
1910	50117
1973	46156
1750	37772
1809	130342
2003	46062
1816	45443
1800	39920
1728	46990
2000	53683
2007	36344
1967	44619
1804	39453
1854	46098
1996	38241
1806	45284
1901	40675
1862	36219
1854	38036
1829	47182
1822	59091
1746	132965
1821	36536
1828	52939
2032	39449
1803	40669
1955	35150
1837	119918
2003	44705
1828	47864
1780	48353
1821	37231
1980	39609
1879	40146
2176	36560
1966	35096
1916	48747
1890	45594
2088	35589
2034	34880
1810	47372
1847	43178
1922	34846
1950	56169
2016	43250
1770	45948
1756	45645
3889	45730
20494	3005
21501	2991
21526	3028
21157	2957
21498	2962
21320	2978
20356	2993
21270	3041
4517	2993
1761	34888
1808	45843
1864	50241
1852	47939
1814	39285
1854	36906
1939	40902
1833	47279
1903	47165
1978	47548
2151	47364
2068	34258
1793	46571
1791	46746
1819	138084
1924	39722
1904	102034
2006	38143
1755	39899
1910	52804
1882	45281
2018	37067
1887	47168
1750	46276
1961	47892
1863	39346
1846	40813
2109	47321
1803	47043
1943	34557
1812	43619
1867	43767
1874	45918
2059	34600
1941	36238
1787	46258
2013	47473
1975	34983
1804	46352
1973	47402
1904	41326
1899	35041
1828	48942
1968	47463
1919	47896
1944	104320
1822	49049
1976	47428
1898	38302
1967	39745
1983	39075
1785	38594
1996	127792
2010	53694
1907	46247
1734	39261
2026	40208
2058	37878
1871	39447
1920	38571
2047	47133
1972	38903
1897	38897
1959	46633
1844	48817
1930	39083
1944	47036
2170	38869
1902	34757
2121	36431
2001	44340
1881	46104
1845	47121
1841	37944
1870	48096
1980	38770
1825	37684
1921	46366
2043	39331
1819	45680
2005	48071
1904	43420
1883	102503
1945	36340
1829	47703
1892	46817
1793	48696
1867	46108
2176	34875
2144	34897
1852	46975
1837	43544
1801	45951
1903	136197
1811	37253
2045	40924
1971	46449
1882	37955
1894	86259
1800	46110
1929	107285
1919	37682
1966	87365
1960	46594
1735	36398
1662	46574
1916	39760
1829	46045
1984	43183
1922	38940
1762	45506
1850	40818
1885	36674
1817	47084
2064	50740
1946	37589
1869	36183
1731	46115
1816	47995
2113	37447
1838	47623
14124	43061
21179	4119
21356	3025
21331	2998
21455	2984
21399	2949
21415	2957
21353	2935
21339	2970
6015	2976
1804	44256
1750	38389
1743	56107
1823	46721
1788	46552
1724	46401
1848	46705
2192	47011
2255	33848
2096	43794
1903	33728
1805	42061
1884	50971
1827	38061
1789	46074
1816	40298
2193	36607
1942	37043
1788	46109
1908	43878
1812	43822
1755	46425
1960	43220
1762	60970
2021	36791
1789	113237
1752	40349
1472	55819
1896	57322
1986	38129
1693	50943
1892	36939
1713	60917
1844	41200
1829	47910
2008	99841
1810	48173
1938	49370
2118	38450
1795	46213
1992	36950
1974	47861
1965	46534
1787	47445
1803	102171
1785	47831
1913	34237
1875	46403
2124	36284
2065	36613
1946	39716
2015	47744
1936	48870
1945	47820
1992	38463
2031	135449
1983	38443
1991	120921
1847	36559
1922	46893
1789	35744
1935	46624
1740	47387
1881	45185
1830	47210
1880	44947
1759	46735
1827	118861
2191	36253
2143	34868
1903	39486
1832	47892
1834	54731
1759	45906
2075	139867
1784	55016
1906	47474
2041	38306
2124	127910
1969	41548
1821	55034
1811	48105
1894	52569
1805	98813
1920	46585
2025	48494
1684	47229
2044	38111
2018	44905
1886	45975
1858	36489
1851	38413
1855	104362
2026	46878
2019	37214
1852	82613
1929	46713
1965	40186
2075	46502
1881	38947
1771	36688
2087	46066
1785	36786
1873	35590
1621	107075
1813	46394
1941	55095
1965	87152
2083	35241
2137	37383
5440	36620
21683	2939
4449	2967
2070	48027
2025	35920
1792	44870
1830	45280
2030	115600
2076	39068
2014	45178
2181	34187
1970	43614
2053	46691
1889	35775
1782	37137
1887	35152
1793	34534
1792	35942
1980	76947
1780	36407
1934	46024
2010	35781
1939	40650
1822	50880
1803	45713
2142	34634
1832	35042
1996	46178
2237	34796
1884	36273
1779	45738
1854	45319
1915	45594
1933	44694
1954	44164
1766	38371
1773	45540
2040	120231
1738	47277
1903	45457
2153	37492
21577	3234
20416	3008
21645	2935
21565	2990
21586	2954
21497	2995
10857	2971
2022	40227
1905	44904
1817	114244
1790	43275
1865	39116
2019	47009
1837	35388
2146	47940
1905	35582
2076	39706
2009	47198
2148	34044
1896	44114
1737	51211
1833	46569
1871	40266
1816	39571
1808	39790
1825	46732
2127	39972
1855	39853
2012	38171
1949	38498
1813	47278
1827	48076
1947	36045
1914	49380
1782	46124
1903	47488
1876	46447
2164	37906
2052	37805
2135	33907
2100	36985
1881	37001
1892	45363
1916	48061
2040	39577
2241	37050
2096	40543
2110	37047
1868	71417
1980	34142
1909	35233
1827	47759
1803	46591
1857	47716
1938	41230
2142	41574
2188	37450
2255	35544
2115	34006
1923	42923
1797	48184
1805	45302
1746	45258
1919	36624
1740	48040
2170	35290
1855	43975
2087	45433
1857	45665
1834	44958
13671	48931
9643	2984
1857	34480
2136	35870
1960	46885
2158	37728
2004	47750
2087	35266
2021	48820
1972	49292
1875	48488
2007	37484
1859	48201
2077	36182
1942	47233
1960	39083
2056	36557
1888	38845
1801	45620
1845	55176
8004	52646
21693	3020
10298	2953
1499	46080
1571	83340
1760	47220
1737	62743
1664	48831
1551	110151
1938	85369
1824	44751
1878	38734
1815	36798
1722	41570
1982	46599
2062	45988
1866	38054
1903	35188
1910	45819
1944	44688
1710	46043
1862	37951
1859	45525
1984	48582
1843	46601
1788	47558
1804	45385
2095	46372
1924	36578
1835	43641
1688	37311
1667	85020
1731	57369
1740	46123
1736	44988
1925	47337
1862	48987
1911	34350
1993	45709
1840	46180
1846	46199
1897	36639
1930	37966
1761	37161
1671	34898
1837	37956
1838	37040
1584	46622
1493	37203
1680	45586
1764	43457
1754	47700
1677	47558
1650	48069
1699	99981
1757	46221
1527	44356
1862	77658
1715	44128
1515	83933
1776	137607
1728	47631
1781	69001
1826	60087
1948	47107
1661	35524
1785	113685
1732	36881
1811	45582
1796	44063
1790	45257
1786	47815
1823	47990
2020	36742
1693	39721
2034	37541
1964	44892
1961	37171
1998	35955
1840	44344
10943	47060
21039	2996
8798	2959
1807	47470
1746	46370
2053	41368
1945	36271
1894	37214
1660	43646
1887	38353
1755	46547
1861	36911
1925	36573
1743	39121
1655	60131
1798	47763
1878	36192
1779	46608
1853	42995
1893	45659
1900	48192
1933	37627
1730	35365
1746	36568
1842	72119
1820	48953
1813	51197
1835	34814
2033	38246
1853	39524
1882	43264
1873	42515
1941	46955
1721	47864
1872	47664
1819	135907
1937	37567
2086	45465
1968	36074
1774	43266
1894	39878
1815	47394
1993	128757
1737	36113
1796	47054
2043	38261
1963	43549
1979	39504
1994	129334
1742	45227
1983	46287
1426	36625
1770	48352
1778	48432
1780	48625
1722	36676
1645	35089
2045	47184
1865	45577
1761	34783
1750	46939
1634	64575
1797	46146
1818	34534
1764	47484
1934	46843
1618	48176
1882	47004
1901	45287
1940	45665
1966	35638
1789	46865
1784	45674
1936	37998
1776	40881
1964	36321
2047	36441
2138	37191
1757	45828
1829	38968
1854	45351
13047	46519
21067	2992
20832	2991
20244	3000
21320	3021
21094	2963
6140	2921
1800	51857
1862	33459
1732	46236
1741	47616
1895	46263
1729	47727
1947	36294
2053	33131
1895	35164
1958	43892
1832	43891
1765	44073
1832	46303
1916	69130
1974	38406
1782	46138
1800	128958
1822	45916
1882	136426
1909	132907
1742	44264
1880	36809
1713	46137
1786	133583
1876	47861
1922	40172
1733	46033
1709	47669
1842	36544
1857	35403
1726	44442
1893	37145
1844	46854
1793	47826
1599	76279
1707	47889
1986	46305
1989	35006
1781	45747
1977	57709
1824	44024
1911	33751
1723	47600
1739	58754
1678	46039
1581	50921
1732	38439
1839	46264
1645	65685
1831	38896
1598	38772
1767	40340
1845	38848
1895	39391
1995	39652
1973	37248
1815	40092
1688	36354
1581	103520
1767	50425
1732	57192
1649	47094
1598	91086
1949	96325
1916	99306
1770	47678
1823	45751
1829	47400
1872	44984
1794	44738
1904	44582
1705	44653
1611	90503
1685	47959
1824	47617
1826	65138
1861	44753
1812	38974
1763	44392
1696	47763
1687	44271
1717	115560
1455	102393
1621	148221
1716	35921
1683	107953
1754	35757
1861	35944
1782	87779
1660	44968
1869	43859
1791	39510
1685	47359
1738	38697
1752	36797
1792	36273
1779	47297
1748	36354
1868	47034
1836	60254
1870	43892
1770	43732
1920	44248
1635	47322
1796	38902
1704	107576
1829	44525
1909	44492
1821	45221
1969	45554
1870	44632
1847	43712
1938	38839
1766	47366
1763	46842
1727	36294
1797	45816
1876	47663
1883	45315
1939	45822
1871	101983
1801	40742
1804	37682
1676	34885
1585	48047
1665	47409
1739	36888
1692	37933
1896	43566
1931	44750
1955	50159
1730	47205
1698	37938
1573	47275
1737	81511
1781	87200
1775	38088
1846	37638
1888	46673
1836	46641
1954	35096
1860	33125
1828	36507
1734	35370
1700	46963
1822	46495
1727	38450
1878	35089
1923	101247
2020	39459
1892	33799
1940	37480
1912	39651
1856	47834
1853	39229
1698	38999
2017	46114
1932	38086
2124	34523
1710	45765
1772	44182
2100	39510
1848	39445
1969	47456
1932	47111
1854	47619
1856	48584
1937	46158
2004	44770
1982	87259
1859	43592
1767	46332
1644	97457
1768	48052
1712	49807
1700	52302
1695	51882
1651	47673
1673	62815
2157	46113
2034	35003
1703	57952
1495	98082
1646	40977
1597	44983
1637	46029
1627	36804
1610	47428
1987	43693
1821	34725
1759	45412
1686	57491
1643	36291
1691	47820
1696	39290
1746	47040
1873	45793
1783	40868
1592	78173
1696	46450
1589	45346
1731	46644
1659	34839
1630	45863
1740	38722
1839	46924
1773	36583
1975	71402
2204	49009
1965	45412
1947	37901
1710	44432
1618	53765
1763	50065
1822	37776
1672	38040
1762	46788
2067	36202
1795	37656
1867	45839
1799	45541
1785	46392
1848	98749
1764	36404
1947	35143
1841	34802
2080	46089
1965	45017
2021	33360
2023	39527
2003	53920
1788	47082
1837	46036
1948	47140
1886	58943
1749	46525
1876	46198
2011	54366
2076	44013
2002	46382
1956	33599
1783	44814
1871	45454
1862	39467
1880	46096
1827	40638
1780	46488
1849	46354
2063	44776
2103	44166
2098	35426
1834	46429
1873	47778
5450	45784
11522	2973
1984	37651
1772	43901
1883	45723
1996	39060
1959	35035
1862	39740
1923	45480
1841	45427
1903	46866
1978	53826
1922	35119
1890	34356
1848	36252
1903	46300
1969	42735
1993	45217
1918	43473
1919	34349
1837	45064
18967	44604
14666	3177
1737	47554
1844	36865
1735	45733
2081	48355
1923	45615
1862	38029
2052	36992
1782	48045
1870	83617
1802	38122
1903	55292
1783	110688
1814	45374
2022	45192
1907	35440
1697	39182
1934	69794
1910	45015
2071	39375
1943	38480
1862	36518
1782	45347
1812	47941
1921	84949
1748	44564
1851	37693
1760	35413
1772	35278
1828	45970
1745	48128
1787	48890
1798	40383
1812	42604
1799	47040
1817	44068
1707	47907
1513	72978
1417	60616
1645	58463
1624	41066
1727	36382
1694	69389
1644	34801
1853	35842
1949	35129
1850	40742
1817	35476
1552	47928
1713	104791
1750	53697
1625	117802
1677	77675
1786	35492
1668	45590
